"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"6020",-0.0582790274696332,-0.891145929685632,-2.12403537353995,-0.498943938992166,0.194997227144647,-0.031913344360618,-0.0137731557884778,0.458838753619188,1.22534568982138,-0.498734540870208,-0.580895045860583,0.181468021389794,0.25723258953075
"10338",2.46145991801206,3.63072835317458,-0.817372278348132,-0.889662039927253,0.626039028758159,-1.81175311168753,-0.751728375635028,-0.702318763307589,-0.524325311317961,-0.109828545300475,0.0548206259308788,0.202757823212584,0.0424878371892974
"52352",-1.47722067220398,0.770858486726418,-1.56365227140421,-0.467454989949244,0.675117390585636,0.047796035268848,0.332213127361393,-0.336703869348422,0.0708667686475286,0.717972005861109,-0.321694334379198,-0.445638215298485,0.149245606751644
"6156",0.423071465513155,-0.00607939783957542,0.703504108785583,-1.20307270708786,1.3072779109016,0.323886910768963,0.479745633736916,-0.263421508750277,0.0704554054869272,-0.753382255124506,-0.0853238385447367,-0.481797708954453,0.278655400861734
"6157",3.07897296022756,-3.10116682480237,-1.77093770213515,0.549983359880978,0.598997041168177,-0.977260018307834,-1.18821821505219,0.0645936461533157,-0.187962772313334,-0.548758978315248,-0.351585818557575,0.321307162509696,0.169796347759663
"6158",1.35309889615526,0.174730281856627,0.524656826705961,-0.14579744499251,1.39154523213533,-0.960921221510329,-0.657999252595438,0.708115285294982,-0.570912665398816,0.592316304559657,-1.09085454167125,-0.0855660860350226,0.332438994821232
"6159",-0.491067257440935,0.0578916780645033,-0.120500155690993,-0.553279859546738,1.78444473102648,-0.227269077024646,0.0670434598057045,0.89815452744788,-0.450708044434409,-0.066660183730271,-0.965340659222204,-0.669846228542381,-0.23131890993935
"5908",1.06226304331865,-0.649731884242997,0.908914884780673,0.197824526891964,0.756818754561862,0.102675711634813,-0.0313576700794366,0.642752494402895,-0.0436374294117727,0.197217537503984,-0.618932872951396,-0.575193610239787,0.190992651037944
"6155",1.82228028872148,0.0631366705313049,0.195559441389102,-0.985174218510161,1.14398401052269,-0.270146693792869,0.0961770771619722,0.678419738532742,0.393787804834137,-0.173653686021706,0.143914845318928,-0.118230390508545,0.312365328766079
"6154",2.58004365276025,-1.82839919596907,-1.84529883782516,1.2738588887652,-0.0995557919376758,-0.292725615492251,-0.0730997103724497,-0.108666721679816,-0.257263655820167,0.241764621217787,0.122686535286288,-0.0731718198164976,-0.0785427224225125
"6272",0.473804132600074,-0.00230800247724705,1.44041237106406,0.0278687730934784,0.397161493749436,-0.67834289371598,-0.0872832534349225,-0.196743026071063,-0.202191947763874,-0.670253281123039,-0.299550016119395,0.216138046790503,0.347186651776884
"10326",0.589531598919608,0.467691922760167,-0.45103814272252,0.0429824860855329,0.198813632549605,0.741463134748377,0.483812433615567,-0.64570824538477,-0.686376477010941,-0.458063927960048,-0.758514148975169,-0.0606208793942236,-0.216248427504034
"10333",-0.528632945432724,1.17335463458898,-1.18036262576321,0.289808379742853,0.877820353471628,0.0160584777128836,1.59309178336378,-0.676481984236717,-0.618966992321146,0.121934281859379,0.137440102073945,-0.446180791079199,0.124057227089123
"449",-3.1642526687043,0.070269203377974,0.628921853413717,-1.14554579192866,-0.195696195731522,-1.22465906312751,0.430083248231122,-0.051907213755934,0.59861414408155,1.07471846846561,-0.118846950981611,0.305724594180311,-0.302004742941283
"6545",-0.454540610654258,0.787906403005561,-1.36933733231901,-0.40426473114827,0.0695621083982923,1.09722150748656,0.372984394993486,0.0787726934025848,-0.103699944769542,0.142604079430215,0.112876667651485,0.635214393931897,-0.181893295844163
"10774",-2.20336148333998,0.623472177255449,-0.480635556957013,0.584376721287537,0.243047739822386,0.542128642534687,0.312694307143342,0.0140894153858791,-1.21926347545206,-0.162128332573001,0.147189913371661,0.284434374472279,0.0232526178428407
"27287",1.51325488278116,-0.100595220860981,-2.16585486815282,1.08060837979182,0.0643939958610621,0.659012821881956,0.439901171558134,0.0872726065368382,0.51135236653603,0.539763518744029,-0.356331290970429,-0.75756406746414,0.295247537561507
"94367",-1.22141966156386,-0.852255483439783,-1.17506121093535,-0.203843552880899,-0.680885485886185,-0.226482587197779,0.362935250161434,0.371009374138326,0.0409697883063749,0.466147524906481,-0.268823076845635,0.247683277239065,-0.17845956354317
"94368",-2.63835066840056,1.16864302859495,-1.40597149827139,-0.197773814290467,0.101373598677768,-0.362258305258845,0.671193640322403,0.333007802834782,-0.35004133312878,0.464570408465085,-0.338765683126391,-0.0831621709748795,0.179076085634323
"94369",-1.5405245513476,0.131261974141833,-2.03425411127473,0.220967334638361,0.111452226281105,0.100790245464516,-0.0950864470964692,-0.162376738133144,0.460225227398474,0.301484049700166,-0.459960277632579,0.0402863785639859,0.0614315926759244
"94370",-3.11695951253987,-0.322619311839972,-1.335766488427,-0.716668459220301,0.59695450564166,1.15333400360957,0.159910182699247,-0.269342717842572,0.34665495484174,0.091419655513795,-0.125621769597664,0.0697144506427741,-0.272812178001681
