Museum,Voucher,Pooled sample,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT,GM
BMNH,1.6.6.28,Interior,49.4360973049686,27.7235745919162,15.1704626129299,17.0140296292643,20.9525346038203,14.5,6.4,12.5,7.6,10.4,24.6,16.9,7.5,15.09845864
MZUSP,12853,São Paulo,47.5,26.9,15,17.3,21.5,15.1,6.2,12.1,7.4,10.5,24.5,16.1,7.6,14.96077262
MZUSP,12852,São Paulo,47.8825053873329,26.7159927713753,15.3954294855243,17.2913758996596,20.9558651232963,15.1,5.9,11.8,7.2,10.3,24.1,16.3,7.5,14.80319698
MZUSP,13304,São Paulo,47.8,27.1,15.6,17.7,21.2,14.2,6.5,11.8,7.6,10.8,24.2684584639258,16.8244046269351,7.7,15.10514743
MZUSP,9836,São Paulo,47.7,27.6,15.3,17.9,21.7,14.3,6.8,11.6,7.8,11.2,24.7,15.9,8.1,15.26923957
MZUSP,9837,São Paulo,48.1,28.1,15.7,17.1,21.5,14.6,6.7,12.4,7.6,10.4,24.8,17,7.6,15.24213672
MZUSP,9838,São Paulo,47.8700819053568,27.7403970917577,15.3,17.1,20.8246792060393,14.9615660743589,6.65257248104573,12.4,7.8,10.7,25.1,16.8,7.6,15.23811453
MZUSP,9870,São Paulo,49.1,28.1,15.3,17.3,21.2,15.1,6.5,12.5,8,11.1,26,17.3,7.9,15.50661493
MZUSP,5956,São Paulo,49,28.4,15.1,16.8,20.9,15.7,6.7,12.8,7.7,11.2,25.1,17.4,7.9,15.49005964
MZUSP,22436,São Paulo,49.8935291860986,28.5725503790239,15.8,17.3,20.9166374644867,15.9031826032633,6.62195313843363,12.7,7.9,10.5835152088362,25,17.1,8.3,15.59755104
MZUSP,3697,São Paulo,50.4023037776252,29.7653212701887,16.2,17.5,21.5915838069207,15.5,6.7,13.2,7.8,10.6,26.5,17.9,8,15.83930146
MZUSP,12851,São Paulo,46.3325822497623,26.5,14.5,17,20.9,13.8,6.1,11.9,7.1,10,24.4,15.7,7.2,14.48959651
MZUSP,12850,São Paulo,48.4,28.1351638605927,15,16.8,20.9,15.2,7,12.6,7.7,10.5855601854003,26,17.6,7.8,15.4244857
MZUSP,1496,Litoral,46.7,28,14.8,17.2216926781441,20.6,14.6,6.8,12.3,7.3,10.1,23.9,17.4,7.52418882133371,14.99285819
MZUSP,1497,Litoral,47,28.2,15.3,17.2,20.6,14.4,6.3,11.8,7.58599054219035,10.3,24.0308549272825,16.9104498922917,7.6185936040205,14.94823211
MZUSP,3881,Litoral,48.5874254613746,28.5,15.5,16.5,20.9,14.8110090855119,6.82130954699494,12.7,7.5,10.7,26.2930497478139,17.5128699103072,7.8,15.39878722
MZUSP,6648,Litoral,48.9,28.1,16.1,18.2,22.4,14.2,6.6,12.8,7.4,10.8,25.1,16.6,7.6,15.39913867
MZUSP,6649,Litoral,47.6335006809511,27.5860315872626,16,17.6,21.7906296911318,14.3,6.7,12.1,7.9,10.6,24,16.4,8,15.27506103
MZUSP,6738,Litoral,48.6,29.1344424387642,16.5,17.9,21.9,15.2,7.1,12.9,7.91315099106124,10.9297941783915,25.5,17.4,7.96883982741004,15.82357991
MZUSP,6003,Litoral,49.8,28.6,17.3,17.7,21.7,15,7.36721325773339,12.7,7.7,11.4,26.3,18.3,7.9,15.98057779
MZUSP,10037,Litoral,49.1,29.5011765337198,16.1755828789854,17.4133209046512,22,14.9,6.9,13.3,7.9,11,25.3,17.8,8.1,15.82093351
MZUSP,9784,Litoral,49.1,27.9,16.3,18.2,22.5,15,6.4,12.5,7.8,10.5,25,17.8,8,15.58459661
MZUSP,1834,Litoral,49.1450743745057,29,16,17.3,20.8,14.4,7,12.8,7.5,11.1,25.1545795465482,17.3734677404057,7.93885514921054,15.53053554
MZUSP,1837,Litoral,49.5,28.9,16.4,17.2,21.3,15,6.9,13.1,7.6,11,27.1305479781282,18.1,7.8,15.77025863
MZUSP,1836,Litoral,50.1803877852529,29.1,16,18.1,22,14.7114568199835,6.89275306378932,12.9,7.6,10.5,26.4,18,7.8,15.72662047
MZUSP,1833,Litoral,52.8,31,16.9,18,22.4,15.8,7.1,13.6,8.2,11.7,27.4,19.4,8.3,16.58848462
MZUSP,1835,Litoral,49.1,29.2,16.3,17.2,21.5,14.4,7,13,7.8,10.8,26.6,17.6,7.8,15.68703153
MZUSP,6647,Litoral,47.7,27.3,15.3,17.2,20.7,15.6,6.8,11.8,7.8,10.7,25,16.9,8,15.29402095
MZUSP,3794,Litoral,47.1758040287719,26.7140628046925,14.7,17.1,20.8,14.6009069458927,6.3,11.9,7.7,10.7,25.1,16.9,7.9,15.02653602
BMNH,2.4.6.24,São Sebastião,46.2,26.9,15,17.6,21.8,14.1,6.3,11.4,7.5,10.4,23.8,15.4,7.3,14.71122354
SMF,40557,São Sebastião,50.5168902200461,28.3596618382203,15.7815940067426,17.4032694292254,21.0870200027613,15.8,7.2,13,7.8,10.9,25.1,17.7,7.8,15.73183006
SMF,40558,São Sebastião,49.0255223453607,28.6838830639701,15.4,17.2868949932176,21.4765797210541,14.9,7,13.1,7.6,11,26.1,18,7.7,15.62989455
MZUSP,2098,São Sebastião,50.4,28.6,16.5,17.8,21.8,14.5,7,12.8,7.8,10.4,26.4486530591246,17.1696553666754,7.81317726507423,15.67570976
BMNH,1.7.2.26,Cruzeiro,49,28.6,15.6,16.8736243599543,20.9061929878413,14.6,6.2,12.9,7.5,10.3,25.5,17.4,7.4,15.18589185
BMNH,1.2.7.27,Cruzeiro,47,27.1,16.2,16.9,20.2,14.8,6.4,12,7.3,10,24.6,16.5,7.4,14.88152528
NMW B,1393,Cruzeiro,47.9032582135074,28.5639925464493,16.4305186496011,17.1,21.3,14.6291201933133,6.57670640409863,13.3,7.5,11,26.4,17.4,7.7,15.53043511
NMW,1693,Rio de Janeiro,49.7315015255696,27.8,15.7,17.1,21.7,15.4,6.8,12.2,7.4,11.1,26,17.3,7.8,15.49390096
NMW,1694,Rio de Janeiro,49.495772978432,27.8,16.3,17.4,21.4,14.6,6.8556983836665,13.2,7.2,11,25.5,17.8,7.6,15.51353767
NMW,1695,Rio de Janeiro,49.3612299208905,28.3,15.7047855280621,17.4090589535892,21.5,14.2,6.9,13.1,7.6,11,26.5,17.5,7.8,15.58009607
BMNH,3.9.4.46,South of Rio Doce,49.2,28.3,15.9,17.1,21.3,15.7,6.5,12.8,7.7,10.7113638539219,25.9,16.9,7.90794107474793,15.51049278
BMNH,3.9.4.45,South of Rio Doce,48.9,29.1,14.9,16.6,21,15.2,6.8,12.6,7.6,10.1659978684499,25,17.2,7.8,15.28910063
BMNH,3.9.4.49,South of Rio Doce,48.8,27.9,15.8,17.4,21.2,14.3,6.6,12.7,7.9,10.9066498597684,25.2,16.9,8.06177174190888,15.43144604
BMNH,3.9.4.44,South of Rio Doce,51.9,29.7,16.4,17.3,21.5,16.1,6.9,14,8.1,10.7,27.6,18.2,8.2,16.18285925
BMNH,3.9.4.50,South of Rio Doce,49.8,29.1,15.9,17.7,21.8,15.1,6.4,12.9,7.7,10.8,26,18,7.9,15.66052819
BMNH,3.9.4.48,South of Rio Doce,48.8,28.9,15.9,17,21.2,13.7,6.6,13.6,7.7,10.8,26.3,17,7.70159500547778,15.44489043
MZUSP,6199,South of Rio Doce,47.6,27.9,16.1,17.7,21.5,14.1,6.6,12.1,6.7,10.6,24.6,17.5195875967657,7.3785932596445,15.07090255
MZUSP,6197,South of Rio Doce,50.4,28.6349319732127,16.6,17.6,21.7,15.1,6.8,12.7,7.4,10.7,26.1,17.7032410808311,8,15.68999242
MZUSP,10466,South of Rio Doce,50.6,29.8,16.5,16.6,21,15.7,6.9,13.3,8.1,10.9,26.8,17.7,8.1,15.92570618
MZUSP,10465,South of Rio Doce,48.2,27.8,15.3,17.2,20.7,14.5,6,12.4,7.7,10.9,24.2,17,7.7,15.08448204
MZUSP,2243,South of Rio Doce,46.7960983892377,27.6,15.9,17.4,21.7261318380435,14.4,6.6,11.8,7.2,10.2,26.5,17.5,7.8,15.20048595
MZUSP,2244,South of Rio Doce,45,26.2,16.1,17.6,21.3,13,5.7,11.7,7.6,11.1,23.8,15.1,7.6,14.64183106
MZUSP,5947,South of Rio Doce,49.3,28.3,16.1,16.9,21.1,15.1,6.7,12.2,7.5,10.3,23.6,15.9,7.5,15.11500771
MZUSP,3511,South of Rio Doce,49.2,28.6,15.8,17.1,20.6,14.7,7,13.1,7.8,10.6,26,16.5,7.6,15.44490894
MZUSP,3509,South of Rio Doce,47.2,29.7,17.2,18.2,21.4,14.7,6.9,12,7.5,10.5,25.8,17.3,7.8,15.55985117
FMNH,20733,Minas Gerais,47.6,27.6,15.8,17,21,14.7,6.1,12.7,7.2,10.5,24.6,16.4,7.3,14.95948364
FMNH,20734,Minas Gerais,48.759304894536,28.8365300616534,16,17.2870828264222,21.5899295662266,13.8838562218746,6.6375750131805,12.6,7.7,10.9,23.8,17.4,7.7,15.34214119
